2020-04-24 11:50:39 UTC,10001,5001,electronics.tablet,samsung,162.01,1,1
2020-04-24 11:50:39 UTC,10002,5002,electronics.tablet,samsung,162.01,2,4
2020-04-24 14:37:43 UTC,10003,5003,electronics.audio.headphone,huawei,77.52,3,4
2020-04-24 14:37:43 UTC,10004,5004,electronics.audio.headphone,huawei,77.52,4,2
2020-04-24 19:16:21 UTC,10005,5005,,karcher,217.57,5,2
2020-04-26 08:45:57 UTC,10006,5006,furniture.kitchen.table,maestro,39.33,6,2
2020-04-26 09:33:47 UTC,10007,5007,electronics.smartphone,apple,1387.01,7,3
2020-04-26 09:33:47 UTC,10008,5008,electronics.smartphone,apple,1387.01,8,3
2020-04-26 09:33:47 UTC,10009,5009,electronics.smartphone,apple,1387.01,9,2
2020-04-26 09:33:47 UTC,10010,5010,electronics.smartphone,apple,1387.01,10,1
2020-04-26 14:55:26 UTC,10011,5011,appliances.kitchen.refrigerators,lg,462.94,11,1
2020-04-26 23:35:39 UTC,10012,5012,appliances.personal.scales,polaris,30.07,12,5
2020-04-27 07:24:51 UTC,10013,5013,electronics.video.tv,samsung,416.64,13,5
2020-04-27 14:57:22 UTC,10014,5014,computers.components.cpu,intel,91.41,14,5
2020-04-27 14:57:22 UTC,10015,5015,computers.components.cpu,intel,91.41,15,0
2020-04-27 14:57:22 UTC,10016,5016,computers.components.cpu,intel,91.41,16,4
2020-04-28 02:21:45 UTC,10017,5017,,philips,23.13,17,2
2020-04-28 03:47:48 UTC,10018,5018,computers.notebook,asus,509.24,18,5
2020-04-28 04:25:00 UTC,10019,5019,,,6.94,19,0
2020-04-28 04:25:00 UTC,10020,5020,,,6.94,20,4
2020-04-28 09:01:47 UTC,10021,5021,computers.peripherals.monitor,samsung,254.61,21,1
2020-04-28 09:01:47 UTC,10022,5022,computers.peripherals.monitor,samsung,254.61,22,2
2020-04-28 11:36:47 UTC,10023,5023,computers.peripherals.printer,epson,164.33,23,3
2020-04-28 11:36:47 UTC,10024,5024,computers.peripherals.printer,epson,164.33,24,1
2020-04-28 11:36:47 UTC,10025,5025,computers.peripherals.printer,epson,164.33,25,3
2020-04-29 03:25:12 UTC,10026,5026,,sbs,0.02,26,1
2020-04-29 03:25:12 UTC,10027,5027,,sbs,0.02,27,0
2020-04-29 04:46:39 UTC,10028,5028,electronics.smartphone,samsung,300.9,28,1
2020-04-29 06:20:39 UTC,10029,5029,,geyzer,6.23,29,0
2020-04-29 06:20:39 UTC,10030,5030,,geyzer,6.23,30,4
2020-04-29 06:21:53 UTC,10031,5031,appliances.kitchen.kettle,tefal,7.85,31,3
2020-04-29 08:56:24 UTC,10032,5032,electronics.smartphone,samsung,300.9,32,2
2020-04-29 10:38:40 UTC,10033,5033,computers.components.memory,kingston,49.98,33,2
